DatasetID,Ref_L,Ref_a,Ref_b,Sam_L,Sam_a,Sam_b,dV,dV_scaled,dE,Ratio,F,Is_Outlier
BFD-P,64.1366109188,-22.7194200966,3.76772485373,63.8112125081,-25.392593085,4.56168304868,2.75728,2.9193668981,1.44709003504,0.495686251695,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,62.8773240153,-33.9121512853,-5.22270845236,1.72619,1.82766420017,1.32598392575,0.72550741303,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,63.0192350535,-34.3695771942,-6.42186704437,2.01935,2.13805763132,1.34591384511,0.629503071101,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,62.860594996,-30.8335880078,-7.56149628015,1.48512,1.57242288332,1.18249916687,0.75202363144,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,62.8187413659,-29.793483897,-4.07507453347,1.53571,1.62598682001,1.26314812917,0.776850164851,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,62.8689603927,-28.4536475845,-4.33523854942,1.5878,1.68113893432,1.43517105955,0.853689739888,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,62.9692070344,-28.9074868775,-7.05063900672,1.5625,1.65435167204,1.38973528324,0.840048284006,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,62.8689603927,-33.7241847956,-5.99464787804,1.5625,1.65435167204,1.0969762863,0.663085306975,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,63.1357214062,-33.7738459508,-7.02379354015,1.43304,1.51728135687,1.23745283934,0.815572427447,0.944478750441,False
BFD-P,63.0109014492,-31.0950596926,-5.85486135387,62.8856858646,-30.0266925337,-7.58466011562,1.35565,1.43534198029,1.35006010493,0.940584281289,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,62.9358197745,-23.7842266596,-8.69818643604,1.4,1.48229909815,1.02862859552,0.693941321829,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,62.9775494396,-26.7077491675,-7.24409482063,1.5968,1.69066799995,1.01079520436,0.597867354437,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,63.0192350535,-28.1792520821,-7.80963754855,1.7088,1.8092519278,1.53609205509,0.849020543514,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,62.6088033874,-26.4569831723,-7.17612576705,1.2608,1.33491621639,0.911340969333,0.682695256934,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,62.5582510883,-25.6762171777,-7.06635479395,1.0928,1.15704032461,0.678988936012,0.586832560257,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,62.6845101469,-24.4138292122,-6.82309437323,1.0496,1.11130080958,0.701775602757,0.631490229023,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,63.0275669003,-27.7036178956,-8.29784274133,1.6864,1.78553514223,1.2728167998,0.712848921141,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,62.8019874614,-24.8115450966,-9.14346692287,1.232,1.30442320637,0.940896626375,0.721312394459,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,63.1274123216,-25.4275325487,-9.17875117558,1.2608,1.33491621639,0.947919051144,0.71009628882,0.944478750441,False
BFD-P,62.7181108813,-25.087912812,-7.83356671695,63.2435810887,-27.9915881925,-7.21371190029,1.7504,1.85329738671,1.63883911411,0.884282860299,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.1606381967,-19.4951644201,-15.9663630113,1.13423,1.20090579007,1.11208254716,0.92603646044,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,62.9942289647,-23.0542804584,-15.1617999793,1.20268,1.27337962812,1.19634936138,0.939507225467,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.1938362036,-19.8757933366,-15.9564685665,1.10872,1.17389618293,0.907438301355,0.773014100013,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.2187164554,-20.5338152671,-16.7490455096,0.94094,0.996253223866,1.05288472776,1.05684448746,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.0358969907,-21.5376929431,-13.4162349644,1.37181,1.45245194702,1.21278163603,0.834989163338,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.1938362036,-19.7903426493,-14.3607787588,1.0094,1.06873764977,0.669047463519,0.626016556697,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.0275669003,-20.8566949582,-13.3118511156,1.16779,1.23643861702,1.09976766244,0.889464019723,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.474902279,-19.2892365105,-14.0813541741,1.32752,1.40555835627,0.996288345102,0.708820335107,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.38418684,-22.2679775001,-16.2851628346,1.49664,1.58462008732,0.851303767745,0.537228938693,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.3594102508,-21.8505765546,-16.3248092768,1.12215,1.18811566642,0.743108740754,0.62545151264,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.0192350535,-22.0252239328,-15.9941244902,0.918121,0.972092807351,0.674006651117,0.693356278351,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.1606381967,-21.0195183358,-16.7136898719,1.2255,1.29754110342,0.91710024771,0.706798609536,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.2104247748,-21.3477523904,-16.8020091522,1.13826,1.2051726939,0.931630427403,0.773026498293,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.1772406801,-20.1005014119,-16.561847218,1.16779,1.23643861702,1.10386690026,0.892779378667,0.944478750441,False
BFD-P,63.1689403088,-20.9190456025,-15.1187878042,63.3180815222,-19.1068919391,-15.7797430778,1.21342,1.28475097977,1.26662179039,0.985888946835,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.1041899135,-12.9456667991,-5.36403881171,1.46875,1.55509057172,1.20302461996,0.773604214341,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.3063923816,-11.5330031722,-6.69107896681,1.47743,1.56428082613,1.08132803749,0.691262092732,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.0879695648,-13.9207818056,-6.4312649358,1.41667,1.49994904527,0.993398206015,0.662287968481,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.2741084013,-11.3734391642,-6.15541048765,1.95312,2.06793429613,1.24695972119,0.602997746848,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,63.7294470452,-11.0254730742,-5.28861831335,1.95312,2.06793429613,1.8053780511,0.873034532327,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.079856926,-11.66867835,-4.9736815366,1.86458,1.97418946602,1.6053106269,0.813149221252,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.0555091419,-12.5536895948,-5.57700101428,1.32118,1.39884565892,1.00744813833,0.720199638826,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.0636267154,-13.2717622308,-5.53565095611,1.57812,1.67088989484,1.17375991304,0.702475918169,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.4111364655,-13.198185531,-8.79627288557,1.48264,1.56979709634,1.31248413674,0.836085211141,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.1041899135,-13.7778042587,-6.0203998774,1.65972,1.75728675656,1.10337409654,0.627885057703,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.1851932956,-11.9075100479,-6.9851359196,1.15278,1.22054625312,0.801547934841,0.656712461976,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.2256336864,-11.6986955057,-6.32679631761,1.65972,1.75728675656,0.968391220532,0.551071825312,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.2337168737,-11.5336510957,-6.23991117629,1.85069,1.9594829414,1.10893559733,0.565932764151,0.944478750441,False
BFD-P,64.2256336864,-12.8701522086,-6.93814069576,64.3789365876,-14.4222480991,-8.62536042048,1.86458,1.97418946602,1.48939474302,0.754433537741,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,62.6424688319,-1.88802163209,-9.47023316557,1.66282,1.76056899027,1.32235429049,0.751094843653,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.2187164554,-1.6014585663,-8.47127125023,1.56351,1.65542104496,1.38974280697,0.839510172474,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.2849875029,-1.95446894124,-10.3066588562,1.49654,1.58451420882,1.51430110398,0.955687929812,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.1855393114,-3.93708733983,-8.49008668848,1.8291,1.93662377173,1.44521094032,0.746252814519,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.0025660866,-1.49285570695,-8.61035806219,1.79677,1.90239325042,1.54534519959,0.812316380564,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.0608767323,-4.2109564972,-9.06211747486,2.39492,2.5357055401,1.70446480402,0.672185621344,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,62.709713387,-3.14445736856,-7.35845859401,1.21478,1.28619092746,1.29288188762,1.00520215158,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.9009614426,-3.66664674929,-7.65635876324,1.72979,1.83147582642,1.52516016523,0.832749274236,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.8193798447,-2.54039340388,-6.94739064662,1.26328,1.33754200336,1.3958211587,1.0435718319,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.6229005766,-3.11815314325,-7.61813048836,1.29792,1.37421831819,1.03111743912,0.750330151669,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,62.6003825192,-1.8323607856,-9.79750255821,1.33025,1.40844883951,1.50872812574,1.07119838749,0.944478750441,False
BFD-P,63.3098106064,-2.7342390683,-8.75226813659,63.4006959778,-2.92967580072,-7.23116761812,1.67898,1.77767895701,1.17502112601,0.660986125405,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.1854730288,4.98747295358,-4.98331778505,1.52344,1.6129955272,1.59774760021,0.990546826237,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.1680023462,4.52582882587,-4.20288506648,1.33398,1.41239810782,1.49550287519,1.05883947798,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.2552767956,2.52766871832,-5.15380923557,1.48633,1.57370401325,1.50585062551,0.95688300521,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.0805300401,4.94229642854,-5.26272605436,1.55469,1.64608256064,1.4840541173,0.901567243823,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.4292365741,2.24914747045,-4.95077097488,1.76758,1.87148731422,1.8728361907,1.00072075107,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.5245821985,2.62075843027,-4.75643374626,1.26367,1.33795492954,1.4157517552,1.05814607349,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.3075469582,4.74778885053,-4.41070487402,1.54687,1.6378028614,1.57950712646,0.964406134393,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,60.9928587519,3.34501362975,-3.66458854476,1.32617,1.40412899642,1.47219072118,1.04847255838,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.0367193395,4.06322289631,-3.49851317983,1.53125,1.6212646386,1.71782354679,1.05955777107,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.5591952546,3.33959855666,-6.77682397806,1.40234,1.48477665521,1.35616203221,0.913377798234,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.1854730288,3.17328737558,-3.73520584582,1.41602,1.49926083497,1.44644787374,0.964774000626,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.0630117372,4.02650936792,-3.66783003667,1.32617,1.40412899642,1.56031409351,1.11123272683,0.944478750441,False
BFD-P,61.2901314255,3.72080554052,-5.37894521689,61.4379140634,2.60174368561,-4.02234093588,1.40234,1.48477665521,1.66658136047,1.12244582686,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.3214755908,8.60387186127,10.7234453264,1.34953,1.42886221566,1.30649460137,0.914360102082,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,61.9978294377,9.50390383345,8.21874313784,1.37652,1.4574388247,1.69460643488,1.16272903271,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.3638619372,7.06796711018,7.74104491207,1.09987,1.16452593506,1.165781395,1.00107808672,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.2960217458,7.1396099312,10.4859699679,1.67341,1.77178152417,1.82778495739,1.03160854341,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.7516829552,8.55226785981,7.04959445891,1.5857,1.67891548567,1.68317382544,1.00253636339,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.6676990129,9.62553405536,9.32539483989,1.64642,1.74320491512,1.46499055693,0.84040065756,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.2280637889,7.01165410502,9.26504187045,1.22132,1.29311538182,1.27758929883,0.987993273289,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.6088033874,7.59331599968,10.5106600126,1.61943,1.71462830608,1.50178420991,0.875865751537,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.810365304,6.79590882359,10.0241522342,1.52497,1.61461546836,1.88947084006,1.17022961633,0.944478750441,False
BFD-P,62.431584872,8.08855641857,8.89525714378,62.3469129019,6.85992458944,8.97056358315,1.39001,1.4717218353,1.32785708521,0.902247322398,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,62.709713387,2.68032937031,18.4084864776,1.72684,1.82835241046,1.73177260464,0.94717659174,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,62.3638619372,3.29458824205,20.5603811814,1.58845,1.68182714461,1.55504681388,0.924617502375,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,62.776843239,2.24583547625,18.294979573,1.83875,1.94684104766,1.54169183996,0.791894048987,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,62.27055134,3.53880061698,20.8626211224,1.45969,1.54549797898,1.7748850438,1.14842275302,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,62.2110558388,3.33443012911,19.6981224334,1.65824,1.75571975465,1.8214347789,1.03742910796,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,63.0025660866,1.45486293621,18.6854160357,1.48496,1.57225347771,1.29623702332,0.824445321125,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,62.8354881509,3.25645871526,19.1978557919,1.98556,2.1022812838,1.89104433462,0.899520130437,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,63.0275669003,0.988237263253,19.5441634493,1.19134,1.26137300542,1.22292047285,0.969515335746,0.944478750441,False
BFD-P,62.6003825192,1.88326481467,20.9600339261,62.776843239,0.699930999134,20.0997172854,1.31288,1.39005774284,1.32259930805,0.951470767935,0.944478750441,False
BFD-P,62.3808036439,23.1740994097,18.426136028,62.6592907509,21.3376874987,18.5060313694,1.16359,1.23199171973,1.17229218566,0.951542260304,0.944478750441,False
BFD-P,62.3808036439,23.1740994097,18.426136028,62.3045081995,24.0806411395,17.4015170016,1.17466,1.24371247045,1.04014312455,0.836321215123,0.944478750441,False
BFD-P,62.3808036439,23.1740994097,18.426136028,62.2195607384,25.4810592017,19.1264562586,1.123,1.18901563373,1.17679522824,0.989722249949,0.944478750441,False
BFD-P,62.3808036439,23.1740994097,18.426136028,62.4738523866,22.1562771213,19.4770348354,1.33825,1.41691912007,1.12719427441,0.795524782215,0.944478750441,False
BFD-P,62.3808036439,23.1740994097,18.426136028,62.4062024803,23.956962117,19.9145945501,0.779828,0.825670243651,0.819898237214,0.993009307915,0.944478750441,False
BFD-P,62.3808036439,23.1740994097,18.426136028,62.4484973436,25.0251861441,18.1025743726,1.10578,1.17078335482,1.19089689816,1.01717956038,0.944478750441,False
